onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
127.686	n/a	63843	seqLearning_start	91	n/a	n/a	8
133.982	n/a	66991	learningBlock_1	31	n/a	n/a	8
134.01	n/a	67005	dot_no1_ON	11	n/a	n/a	8
134.6	n/a	67300	dot_no1_OFF	21	n/a	n/a	8
135.92	n/a	67960	dot_no6_ON	16	n/a	n/a	8
136.51	n/a	68255	dot_no6_OFF	26	n/a	n/a	8
137.83	n/a	68915	dot_no4_ON	14	n/a	n/a	8
138.41	n/a	69205	dot_no4_OFF	24	n/a	n/a	8
139.73	n/a	69865	dot_no2_ON	12	n/a	n/a	8
140.31	n/a	70155	dot_no2_OFF	22	n/a	n/a	8
141.63	n/a	70815	dot_no7_ON	17	n/a	n/a	8
142.21	n/a	71105	dot_no7_OFF	27	n/a	n/a	8
143.53	n/a	71765	dot_no3_ON	13	n/a	n/a	8
144.11	n/a	72055	dot_no3_OFF	23	n/a	n/a	8
145.43	n/a	72715	dot_no8_ON	18	n/a	n/a	8
146.01	n/a	73005	dot_no8_OFF	28	n/a	n/a	8
147.33	n/a	73665	dot_no5_ON	15	n/a	n/a	8
147.91	n/a	73955	dot_no5_OFF	25	n/a	n/a	8
149.23	n/a	74615	dot_no2_ON	12	n/a	n/a	8
149.81	n/a	74905	dot_no2_OFF	22	n/a	n/a	8
151.13	n/a	75565	dot_no7_ON	17	n/a	n/a	8
151.71	n/a	75855	dot_no7_OFF	27	1-6-8-5-3-4-7-2-8-4	1-6-4-2-7-3-8-5-2-7	8
201.034	n/a	100517	learningBlock_2	32	n/a	n/a	8
201.052	n/a	100526	dot_no1_ON	11	n/a	n/a	8
201.64	n/a	100820	dot_no1_OFF	21	n/a	n/a	8
202.962	n/a	101481	dot_no6_ON	16	n/a	n/a	8
203.542	n/a	101771	dot_no6_OFF	26	n/a	n/a	8
204.862	n/a	102431	dot_no4_ON	14	n/a	n/a	8
205.442	n/a	102721	dot_no4_OFF	24	n/a	n/a	8
206.762	n/a	103381	dot_no2_ON	12	n/a	n/a	8
207.342	n/a	103671	dot_no2_OFF	22	n/a	n/a	8
208.662	n/a	104331	dot_no7_ON	17	n/a	n/a	8
209.242	n/a	104621	dot_no7_OFF	27	n/a	n/a	8
210.562	n/a	105281	dot_no3_ON	13	n/a	n/a	8
211.152	n/a	105576	dot_no3_OFF	23	n/a	n/a	8
212.472	n/a	106236	dot_no8_ON	18	n/a	n/a	8
213.052	n/a	106526	dot_no8_OFF	28	n/a	n/a	8
214.392	n/a	107196	dot_no5_ON	15	n/a	n/a	8
214.972	n/a	107486	dot_no5_OFF	25	n/a	n/a	8
216.292	n/a	108146	dot_no2_ON	12	n/a	n/a	8
