onset	duration	sample	value	event_code
0	n/a	0	9999	9999
5.042	n/a	2521	video_start	83
175.59	n/a	87795	video_stop	103
176.356	n/a	88178	break cnt	break cnt
933.669	n/a	466834.5	boundary	boundary
