onset	duration	sample	value	event_code
0	n/a	0	resting_start	90
111.422	n/a	55711	resting_start	90
153.002	n/a	76501	instructed_toOpenEyes	20
173.002	n/a	86501	instructed_toCloseEyes	30
213.002	n/a	106501	instructed_toOpenEyes	20
233.002	n/a	116501	instructed_toCloseEyes	30
272.992	n/a	136496	instructed_toOpenEyes	20
292.994	n/a	146497	instructed_toCloseEyes	30
332.994	n/a	166497	instructed_toOpenEyes	20
352.994	n/a	176497	instructed_toCloseEyes	30
392.996	n/a	196498	instructed_toOpenEyes	20
412.996	n/a	206498	instructed_toCloseEyes	30
452.996	n/a	226498	instructed_toOpenEyes	20
457.553	n/a	228776.5	boundary	boundary
