onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
146.806	n/a	73403	seqLearning_start	91	n/a	n/a	8
153.09	n/a	76545	learningBlock_1	31	n/a	n/a	8
153.118	n/a	76559	dot_no1_ON	11	n/a	n/a	8
153.706	n/a	76853	dot_no1_OFF	21	n/a	n/a	8
155.026	n/a	77513	dot_no6_ON	16	n/a	n/a	8
155.606	n/a	77803	dot_no6_OFF	26	n/a	n/a	8
156.926	n/a	78463	dot_no4_ON	14	n/a	n/a	8
157.506	n/a	78753	dot_no4_OFF	24	n/a	n/a	8
158.826	n/a	79413	dot_no2_ON	12	n/a	n/a	8
159.416	n/a	79708	dot_no2_OFF	22	n/a	n/a	8
160.736	n/a	80368	dot_no7_ON	17	n/a	n/a	8
161.316	n/a	80658	dot_no7_OFF	27	n/a	n/a	8
162.636	n/a	81318	dot_no3_ON	13	n/a	n/a	8
163.216	n/a	81608	dot_no3_OFF	23	n/a	n/a	8
164.536	n/a	82268	dot_no8_ON	18	n/a	n/a	8
165.116	n/a	82558	dot_no8_OFF	28	n/a	n/a	8
166.436	n/a	83218	dot_no5_ON	15	n/a	n/a	8
167.016	n/a	83508	dot_no5_OFF	25	n/a	n/a	8
168.338	n/a	84169	dot_no2_ON	12	n/a	n/a	8
168.916	n/a	84458	dot_no2_OFF	22	n/a	n/a	8
170.236	n/a	85118	dot_no7_ON	17	n/a	n/a	8
170.816	n/a	85408	dot_no7_OFF	27	1-6-7-3-3-4-8-2-5-5	1-6-4-2-7-3-8-5-2-7	8
214.52	n/a	107260	learningBlock_2	32	n/a	n/a	8
214.528	n/a	107264	dot_no1_ON	11	n/a	n/a	8
215.108	n/a	107554	dot_no1_OFF	21	n/a	n/a	8
216.428	n/a	108214	dot_no6_ON	16	n/a	n/a	8
217.008	n/a	108504	dot_no6_OFF	26	n/a	n/a	8
218.328	n/a	109164	dot_no4_ON	14	n/a	n/a	8
218.918	n/a	109459	dot_no4_OFF	24	n/a	n/a	8
220.238	n/a	110119	dot_no2_ON	12	n/a	n/a	8
220.818	n/a	110409	dot_no2_OFF	22	n/a	n/a	8
222.138	n/a	111069	dot_no7_ON	17	n/a	n/a	8
222.718	n/a	111359	dot_no7_OFF	27	n/a	n/a	8
224.038	n/a	112019	dot_no3_ON	13	n/a	n/a	8
224.618	n/a	112309	dot_no3_OFF	23	n/a	n/a	8
225.938	n/a	112969	dot_no8_ON	18	n/a	n/a	8
226.518	n/a	113259	dot_no8_OFF	28	n/a	n/a	8
227.838	n/a	113919	dot_no5_ON	15	n/a	n/a	8
228.418	n/a	114209	dot_no5_OFF	25	n/a	n/a	8
229.738	n/a	114869	dot_no2_ON	12	n/a	n/a	8
230.318	n/a	115159	dot_no2_OFF	22	n/a	n/a	8
231.638	n/a	115819	dot_no7_ON	17	n/a	n/a	8
232.218	n/a	116109	dot_no7_OFF	27	2-2-3-3-4-5-6-7-8-8	1-6-4-2-7-3-8-5-2-7	8
253.06	n/a	126530	learningBlock_3	33	n/a	n/a	8
253.068	n/a	126534	dot_no1_ON	11	n/a	n/a	8
253.648	n/a	126824	dot_no1_OFF	21	n/a	n/a	8
254.968	n/a	127484	dot_no6_ON	16	n/a	n/a	8
255.548	n/a	127774	dot_no6_OFF	26	n/a	n/a	8
256.868	n/a	128434	dot_no4_ON	14	n/a	n/a	8
257.448	n/a	128724	dot_no4_OFF	24	n/a	n/a	8
258.768	n/a	129384	dot_no2_ON	12	n/a	n/a	8
259.348	n/a	129674	dot_no2_OFF	22	n/a	n/a	8
260.668	n/a	130334	dot_no7_ON	17	n/a	n/a	8
261.248	n/a	130624	dot_no7_OFF	27	n/a	n/a	8
262.568	n/a	131284	dot_no3_ON	13	n/a	n/a	8
263.148	n/a	131574	dot_no3_OFF	23	n/a	n/a	8
264.468	n/a	132234	dot_no8_ON	18	n/a	n/a	8
265.048	n/a	132524	dot_no8_OFF	28	n/a	n/a	8
266.368	n/a	133184	dot_no5_ON	15	n/a	n/a	8
266.948	n/a	133474	dot_no5_OFF	25	n/a	n/a	8
268.268	n/a	134134	dot_no2_ON	12	n/a	n/a	8
268.848	n/a	134424	dot_no2_OFF	22	n/a	n/a	8
270.178	n/a	135089	dot_no7_ON	17	n/a	n/a	8
