onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
52.586	n/a	26293	seqLearning_start	91	n/a	n/a	8
61.91	n/a	30955	learningBlock_1	31	n/a	n/a	8
61.928	n/a	30964	dot_no1_ON	11	n/a	n/a	8
62.558	n/a	31279	dot_no1_OFF	21	n/a	n/a	8
63.878	n/a	31939	dot_no6_ON	16	n/a	n/a	8
64.466	n/a	32233	dot_no6_OFF	26	n/a	n/a	8
65.788	n/a	32894	dot_no4_ON	14	n/a	n/a	8
66.376	n/a	33188	dot_no4_OFF	24	n/a	n/a	8
67.698	n/a	33849	dot_no2_ON	12	n/a	n/a	8
68.286	n/a	34143	dot_no2_OFF	22	n/a	n/a	8
69.608	n/a	34804	dot_no7_ON	17	n/a	n/a	8
70.196	n/a	35098	dot_no7_OFF	27	n/a	n/a	8
71.518	n/a	35759	dot_no3_ON	13	n/a	n/a	8
72.106	n/a	36053	dot_no3_OFF	23	n/a	n/a	8
73.428	n/a	36714	dot_no8_ON	18	n/a	n/a	8
74.018	n/a	37009	dot_no8_OFF	28	n/a	n/a	8
75.338	n/a	37669	dot_no5_ON	15	n/a	n/a	8
75.926	n/a	37963	dot_no5_OFF	25	n/a	n/a	8
77.248	n/a	38624	dot_no2_ON	12	n/a	n/a	8
77.836	n/a	38918	dot_no2_OFF	22	n/a	n/a	8
79.158	n/a	39579	dot_no7_ON	17	n/a	n/a	8
79.746	n/a	39873	dot_no7_OFF	27	1-6-4-7-5-2-8-7-3-3	1-6-4-2-7-3-8-5-2-7	8
123.828	n/a	61914	learningBlock_2	32	n/a	n/a	8
123.838	n/a	61919	dot_no1_ON	11	n/a	n/a	8
124.426	n/a	62213	dot_no1_OFF	21	n/a	n/a	8
125.748	n/a	62874	dot_no6_ON	16	n/a	n/a	8
126.336	n/a	63168	dot_no6_OFF	26	n/a	n/a	8
127.658	n/a	63829	dot_no4_ON	14	n/a	n/a	8
128.248	n/a	64124	dot_no4_OFF	24	n/a	n/a	8
129.568	n/a	64784	dot_no2_ON	12	n/a	n/a	8
130.156	n/a	65078	dot_no2_OFF	22	n/a	n/a	8
131.478	n/a	65739	dot_no7_ON	17	n/a	n/a	8
132.066	n/a	66033	dot_no7_OFF	27	n/a	n/a	8
133.388	n/a	66694	dot_no3_ON	13	n/a	n/a	8
133.976	n/a	66988	dot_no3_OFF	23	n/a	n/a	8
135.298	n/a	67649	dot_no8_ON	18	n/a	n/a	8
135.888	n/a	67944	dot_no8_OFF	28	n/a	n/a	8
137.208	n/a	68604	dot_no5_ON	15	n/a	n/a	8
137.796	n/a	68898	dot_no5_OFF	25	n/a	n/a	8
139.118	n/a	69559	dot_no2_ON	12	n/a	n/a	8
